Category,Subcategory,Item,Description,Status,Priority
Core Pages & Flows,Skin Survey,Skin type assessment,,Unassigned,None
Core Pages & Flows,Skin Survey,Concern selection,,Unassigned,None
Core Pages & Flows,Skin Survey,Sensitivity evaluation,,Unassigned,None
Core Pages & Flows,Skin Survey,Complexion / Fitzpatrick type,,Unassigned,None
Core Pages & Flows,Skin Survey,Lifestyle factors,,Unassigned,None
Core Pages & Flows,Skin Survey,Product preferences (vegan fragrance-free etc.),,Unassigned,None
Core Pages & Flows,Skin Survey,Budget range,,Unassigned,None
Core Pages & Flows,Skin Survey,AuthPrompt (login/signup prompt mid-survey),,Unassigned,None
Core Pages & Flows,Skin Survey,Progress indicator,,Unassigned,None
Core Pages & Flows,Skin Survey,Results page (SurveyResultsPage),,Unassigned,None
Core Pages & Flows,Skin Survey,Personalized product recommendations on results,,Unassigned,None
Core Pages & Flows,Skin Survey,Save to sessionState + localStorage + Supabase profile,,Unassigned,None
Core Pages & Flows,Skin Survey,Resume incomplete survey,,Unassigned,None
Core Pages & Flows,Skin Survey,Retake survey flow,,Unassigned,None
Core Pages & Flows,Skin Survey,Guest survey to account merge on signup,,Unassigned,None
Core Pages & Flows,My Skin,Editable skin type,,Unassigned,None
Core Pages & Flows,My Skin,Editable concerns list,,Unassigned,None
Core Pages & Flows,My Skin,Editable allergens,,Unassigned,None
Core Pages & Flows,My Skin,Editable preferences,,Unassigned,None
Core Pages & Flows,My Skin,Save to Supabase profile + sessionState,,Unassigned,None
Core Pages & Flows,My Skin,Sync with skin survey data,,Unassigned,None
Core Pages & Flows,My Skin,Empty state for incomplete profile,,Unassigned,None
Core Pages & Flows,My Skin,Link to retake survey,,Unassigned,None
Core Pages & Flows,Account,Account overview dashboard,,Unassigned,None
Core Pages & Flows,Account,Saved products list with filtering/sorting,,Unassigned,None
Core Pages & Flows,Account,Recent purchases,,Unassigned,None
Core Pages & Flows,Account,Bio editing,,Unassigned,None
Core Pages & Flows,Account,Points display (PointsDisplay component),,Unassigned,None
Core Pages & Flows,Account,Tier progress bar,,Unassigned,None
Core Pages & Flows,Account,Transaction history link,,Unassigned,None
Core Pages & Flows,Account,Quick links to settings routines badges,,Unassigned,None
Core Pages & Flows,Account,Guest vs. authenticated state,,Unassigned,None
Core Pages & Flows,Settings,Profile tab (bio display name avatar),,Unassigned,None
Core Pages & Flows,Settings,Account tab (email password change),,Unassigned,None
Core Pages & Flows,Settings,Notifications tab (email product reminders community updates),,Unassigned,None
Core Pages & Flows,Settings,Privacy tab (profile visibility show routines),,Unassigned,None
Core Pages & Flows,Settings,Preferences tab (language theme),,Unassigned,None
Core Pages & Flows,Settings,Location tab (city state zip country geolocation manual lat/lon clear privacy note),,Unassigned,None
Core Pages & Flows,Settings,Display name change with cooldown logic,,Unassigned,None
Core Pages & Flows,Settings,Password change modal with current password verification,,Unassigned,None
Core Pages & Flows,Settings,Tab navigation via URL query param (?tab=location),,Unassigned,None
Core Pages & Flows,Settings,Save confirmation toast,,Unassigned,None
Core Pages & Flows,Settings,Supabase profile sync,,Unassigned,None
Core Pages & Flows,Cart,Cart items list,,Unassigned,None
Core Pages & Flows,Cart,Quantity adjustment,,Unassigned,None
Core Pages & Flows,Cart,Remove item,,Unassigned,None
Core Pages & Flows,Cart,Price subtotal / total,,Unassigned,None
Core Pages & Flows,Cart,Checkout flow,,Unassigned,None
Core Pages & Flows,Cart,Empty cart state,,Unassigned,None
Core Pages & Flows,Cart,Persist cart across sessions (localStorage),,Unassigned,None
Core Pages & Flows,AI Chat,Chat interface (message input conversation thread),,Unassigned,None
Core Pages & Flows,AI Chat,AI response rendering (markdown product links),,Unassigned,None
Core Pages & Flows,AI Chat,Conversation history (multi-turn memory),,Unassigned,None
Core Pages & Flows,AI Chat,Context-aware from user profile (skin type concerns saved products),,Unassigned,None
Core Pages & Flows,AI Chat,Product recommendations with marketplace links,,Unassigned,None
Core Pages & Flows,AI Chat,Routine suggestions,,Unassigned,None
Core Pages & Flows,AI Chat,Ingredient analysis,,Unassigned,None
Core Pages & Flows,AI Chat,Navigation intent detection,,Unassigned,None
Core Pages & Flows,AI Chat,Tone settings (casual professional educational),,Unassigned,None
Core Pages & Flows,AI Chat,Detail level settings (brief detailed comprehensive),,Unassigned,None
Core Pages & Flows,AI Chat,Loading state during AI response,,Unassigned,None
Core Pages & Flows,AI Chat,Error state for API failure,,Unassigned,None
Core Pages & Flows,AI Chat,NeuralBloomIcon branding,,Unassigned,None
Core Pages & Flows,AI Chat,Clear conversation,,Unassigned,None
Core Pages & Flows,Nutrition,FoodLibrary (browse foods),,Unassigned,None
Core Pages & Flows,Nutrition,FoodDetailModal (nutrition facts skin-relevant nutrients),,Unassigned,None
Core Pages & Flows,Nutrition,MealPlanner (plan meals by date/time),,Unassigned,None
Core Pages & Flows,Nutrition,NutrientTracker (daily intake analytics),,Unassigned,None
Core Pages & Flows,Nutrition,Skin-relevant nutrient highlighting,,Unassigned,None
Core Pages & Flows,Nutrition,Dietary restriction handling,,Unassigned,None
Core Pages & Flows,Nutrition,Meal saving,,Unassigned,None
Core Pages & Flows,Nutrition,Daily intake logging,,Unassigned,None
Core Pages & Flows,Nutrition,Nutrient goal setting,,Unassigned,None
Core Pages & Flows,Nutrition,Tab navigation (library planner tracker),,Unassigned,None
Core Pages & Flows,Nutrition,Supabase persistence (meal_plans nutrient_goals daily_nutrient_intake),,Unassigned,None
Core Pages & Flows,Nutrition,Disclaimer: educational not medical advice,,Unassigned,None
Core Pages & Flows,Services,Services directory landing,,Unassigned,None
Core Pages & Flows,Services,ServicesSearchPage (search & filter),,Unassigned,None
Core Pages & Flows,Services,ServiceDetailPage (service info provider pricing),,Unassigned,None
Core Pages & Flows,Services,ServicesComparePage (compare multiple services),,Unassigned,None
Core Pages & Flows,Services,ServicesBookingPage (booking form),,Unassigned,None
Core Pages & Flows,Services,ServicesBookingSuccessPage (confirmation),,Unassigned,None
Core Pages & Flows,Services,Service ratings and reviews,,Unassigned,None
Core Pages & Flows,Services,Provider trust indicators,,Unassigned,None
Core Pages & Flows,Services,Booking calendar/scheduling,,Unassigned,None
Core Pages & Flows,Services,Mock service data,,Unassigned,None
Core Pages & Flows,Marketplace,Marketplace landing (featured products categories),,Unassigned,None
Core Pages & Flows,Marketplace,MarketplaceAllPage (full product listing),,Unassigned,None
Core Pages & Flows,Marketplace,MarketplaceProductDetailPage (product detail with checkout),,Unassigned,None
Core Pages & Flows,Marketplace,MarketplaceSuccessPage (purchase confirmation),,Unassigned,None
Core Pages & Flows,Marketplace,Subscription tier discount display,,Unassigned,None
Core Pages & Flows,Marketplace,Creator storefront links,,Unassigned,None
Core Pages & Flows,Marketplace,Trust score display,,Unassigned,None
Core Pages & Flows,Marketplace,Category browsing,,Unassigned,None
Core Pages & Flows,Marketplace,Search within marketplace,,Unassigned,None
Core Pages & Flows,Marketplace,Stripe Checkout integration,,Unassigned,None
Core Pages & Flows,Marketplace,Transaction tracking,,Unassigned,None
Core Pages & Flows,Community,Community feed (posts from joined communities),,Unassigned,None
Core Pages & Flows,Community,Community discover (browse communities),,Unassigned,None
Core Pages & Flows,Community,My Communities tab,,Unassigned,None
Core Pages & Flows,Community,CommunityCreatePage (create new community),,Unassigned,None
Core Pages & Flows,Community,Community detail / feed view,,Unassigned,None
Core Pages & Flows,Community,Post creation (text images),,Unassigned,None
Core Pages & Flows,Community,Post likes and comments,,Unassigned,None
Core Pages & Flows,Community,Community membership (join/leave),,Unassigned,None
Core Pages & Flows,Community,Community moderation indicators,,Unassigned,None
Core Pages & Flows,Community,Member count display,,Unassigned,None
Core Pages & Flows,Community,Empty states for each tab,,Unassigned,None
Core Pages & Flows,Community,Loading states,,Unassigned,None
Core Pages & Flows,Seller & Creator,SellerOnboardingPage (become a seller),,Unassigned,None
Core Pages & Flows,Seller & Creator,SellerDashboardPage (seller overview),,Unassigned,None
Core Pages & Flows,Seller & Creator,SellerApplicationStatusPage (check application),,Unassigned,None
Core Pages & Flows,Seller & Creator,CreatorOnboardingPage (creator program),,Unassigned,None
Core Pages & Flows,Seller & Creator,CreatorDashboardPage (creator workspace),,Unassigned,None
Core Pages & Flows,Seller & Creator,CreatorProductsPage (manage products),,Unassigned,None
Core Pages & Flows,Seller & Creator,CreatorPatchTestsPage (manage patch tests),,Unassigned,None
Core Pages & Flows,Seller & Creator,CreatePatchTestPage (create new patch test),,Unassigned,None
Core Pages & Flows,Seller & Creator,CreatorAudiencePage (audience analytics),,Unassigned,None
Core Pages & Flows,Seller & Creator,CreatorAnalyticsPage (analytics dashboard),,Unassigned,None
Core Pages & Flows,Seller & Creator,CreatorStorefrontPage (storefront customization),,Unassigned,None
Core Pages & Flows,Seller & Creator,Stripe Connect onboarding integration,,Unassigned,None
Core Pages & Flows,Seller & Creator,Stripe dashboard link,,Unassigned,None
Core Pages & Flows,Storefront,StorefrontDetailPage (public storefront view),,Unassigned,None
Core Pages & Flows,Storefront,StorefrontProductDetailsPage (storefront product detail),,Unassigned,None
Core Pages & Flows,Storefront,StorefrontJoinPage (join storefront program),,Unassigned,None
Core Pages & Flows,Storefront,StorefrontRegisterPage (register as storefront with Stripe),,Unassigned,None
Core Pages & Flows,Affiliate,AffiliateDashboardPage (earnings clicks conversions),,Unassigned,None
Core Pages & Flows,Affiliate,AffiliateRedirectPage (click tracking + redirect),,Unassigned,None
Core Pages & Flows,Affiliate,Affiliate link generation,,Unassigned,None
Core Pages & Flows,Affiliate,Commission tracking,,Unassigned,None
Core Pages & Flows,Affiliate,Cashback display,,Unassigned,None
Core Pages & Flows,Reviews,RetailerReviewsPage (retailer trust scores + reviews),,Unassigned,None
Core Pages & Flows,Reviews,ReviewsProductsPage (aggregated product reviews),,Unassigned,None
Core Pages & Flows,Reviews,Reviewer similarity scoring and badges,,Unassigned,None
Core Pages & Flows,Reviews,Aspect ratings (shipping service packaging),,Unassigned,None
Core Pages & Flows,Reviews,Helpful/report actions,,Unassigned,None
Core Pages & Flows,Reviews,Sort and filter reviews,,Unassigned,None
Core Pages & Flows,Reviews,ExplainWhyDropdown for similarity,,Unassigned,None
Core Pages & Flows,Badges,Achievement/badge display,,Unassigned,None
Core Pages & Flows,Badges,Badge categories,,Unassigned,None
Core Pages & Flows,Badges,Earn conditions per badge,,Unassigned,None
Core Pages & Flows,Badges,Progress toward next badge,,Unassigned,None
Core Pages & Flows,Badges,Badge notifications,,Unassigned,None
Core Pages & Flows,Subscription,SubscriptionPage (tier selection),,Unassigned,None
Core Pages & Flows,Subscription,PremiumPackagesPage (premium feature listing),,Unassigned,None
Core Pages & Flows,Subscription,Tier comparison table,,Unassigned,None
Core Pages & Flows,Subscription,Stripe subscription checkout,,Unassigned,None
Core Pages & Flows,Subscription,Current tier display,,Unassigned,None
Core Pages & Flows,Subscription,Upgrade/downgrade flow,,Unassigned,None
Core Pages & Flows,Static & Legal Pages,AboutPage,,Unassigned,None
Core Pages & Flows,Static & Legal Pages,ContactPage (with Supabase form submission),,Unassigned,None
Core Pages & Flows,Static & Legal Pages,PrivacyPage,,Unassigned,None
Core Pages & Flows,Static & Legal Pages,FAQPage,,Unassigned,None
Core Pages & Flows,Static & Legal Pages,AccessibilityPage,,Unassigned,None
Core Pages & Flows,Static & Legal Pages,CommunityGuidelinesPage,,Unassigned,None
Core Pages & Flows,Static & Legal Pages,DataImpactPage (data transparency),,Unassigned,None
Core Pages & Flows,Static & Legal Pages,DataAnonymizationPage (data deletion),,Unassigned,None
Core Pages & Flows,Static & Legal Pages,IngredientPatchTestPage (patch test guide),,Unassigned,None
Core Pages & Flows,Waitlist / Early Access,WaitlistLandingPage (preview site),,Unassigned,None
Core Pages & Flows,Waitlist / Early Access,MarketplaceWaitlistPage (marketplace preview),,Unassigned,None
Core Pages & Flows,Waitlist / Early Access,Password-gated access (password-check Edge Function),,Unassigned,None
Core Pages & Flows,Error Pages,NotFoundPage (404 catch-all),,Unassigned,None
Authentication & User Identity,Auth Flows,Email/password signup,,Unassigned,None
Authentication & User Identity,Auth Flows,Email/password login,,Unassigned,None
Authentication & User Identity,Auth Flows,OAuth redirect handling (callback page),,Unassigned,None
Authentication & User Identity,Auth Flows,Forgot password (email-based recovery),,Unassigned,None
Authentication & User Identity,Auth Flows,Reset password (token-based reset),,Unassigned,None
Authentication & User Identity,Auth Flows,HCaptcha bot prevention on login/signup,,Unassigned,None
Authentication & User Identity,Auth Flows,Auto-redirect after login (return to previous page),,Unassigned,None
Authentication & User Identity,Auth Flows,Session persistence across tabs/refresh,,Unassigned,None
Authentication & User Identity,Session Management,Supabase Auth session (JWT + refresh token),,Unassigned,None
Authentication & User Identity,Session Management,Auth state context (AuthContext),,Unassigned,None
Authentication & User Identity,Session Management,Profile loading on auth state change,,Unassigned,None
Authentication & User Identity,Session Management,Guest-to-authenticated state transition,,Unassigned,None
Authentication & User Identity,Session Management,Session expiry handling,,Unassigned,None
Authentication & User Identity,Session Management,Auto-refresh token logic,,Unassigned,None
Authentication & User Identity,Auth Logic,AuthContext provider (user profile loading refreshProfile),,Unassigned,None
Authentication & User Identity,Auth Logic,signUp function (create auth user + profile),,Unassigned,None
Authentication & User Identity,Auth Logic,signIn function,,Unassigned,None
Authentication & User Identity,Auth Logic,signOut function,,Unassigned,None
Authentication & User Identity,Auth Logic,Profile sync to sessionState on auth change,,Unassigned,None
Authentication & User Identity,Auth Logic,Routine count hydration on login,,Unassigned,None
Authentication & User Identity,Auth Logic,Survey completion flag sync,,Unassigned,None
Authentication & User Identity,Guest-to-Account Data Merge,Merge survey answers from localStorage,,Unassigned,None
Authentication & User Identity,Guest-to-Account Data Merge,Merge saved products (dedupe by ID),,Unassigned,None
Authentication & User Identity,Guest-to-Account Data Merge,Merge routines (INSERT into user_routines),,Unassigned,None
Authentication & User Identity,Guest-to-Account Data Merge,Merge search history,,Unassigned,None
Authentication & User Identity,Guest-to-Account Data Merge,Merge viewed products,,Unassigned,None
Authentication & User Identity,Guest-to-Account Data Merge,Merge location data,,Unassigned,None
Authentication & User Identity,Guest-to-Account Data Merge,Clear guest localStorage after merge,,Unassigned,None
Authentication & User Identity,Guest-to-Account Data Merge,MergeResult reporting,,Unassigned,None
Authentication & User Identity,Profile Management,Create profile on signup (with guest data),,Unassigned,None
Authentication & User Identity,Profile Management,Load profile from Supabase,,Unassigned,None
Authentication & User Identity,Profile Management,Update profile fields (bio name avatar skin_type concerns preferences),,Unassigned,None
Authentication & User Identity,Profile Management,Delete profile (data anonymization),,Unassigned,None
Authentication & User Identity,Profile Management,Profile hydration cascade: Supabase to sessionState to localStorage,,Unassigned,None
Authentication & User Identity,Profile Management,Display name change with cooldown (30-day 2 free changes),,Unassigned,None
Skin Survey & Profile System,Survey Flow,Multi-step quiz wizard,,Unassigned,None
Skin Survey & Profile System,Survey Flow,Skin type question (oily dry combination normal sensitive),,Unassigned,None
Skin Survey & Profile System,Survey Flow,Primary concerns selection (acne aging hyperpigmentation texture etc.),,Unassigned,None
Skin Survey & Profile System,Survey Flow,Sensitivity level,,Unassigned,None
Skin Survey & Profile System,Survey Flow,Complexion / Fitzpatrick type (I-VI),,Unassigned,None
Skin Survey & Profile System,Survey Flow,Allergen identification,,Unassigned,None
Skin Survey & Profile System,Survey Flow,Lifestyle factors (sleep stress diet water exercise environment),,Unassigned,None
Skin Survey & Profile System,Survey Flow,Product preferences (vegan cruelty-free fragrance-free etc.),,Unassigned,None
Skin Survey & Profile System,Survey Flow,Budget range,,Unassigned,None
Skin Survey & Profile System,Survey Flow,Age range (optional),,Unassigned,None
Skin Survey & Profile System,Survey State Management,Save answers to localStorage (skinSurveyData) during quiz,,Unassigned,None
Skin Survey & Profile System,Survey State Management,Save to sessionState on completion,,Unassigned,None
Skin Survey & Profile System,Survey State Management,Save to Supabase profile on login/signup,,Unassigned,None
Skin Survey & Profile System,Survey State Management,Resume incomplete survey,,Unassigned,None
Skin Survey & Profile System,Survey State Management,Retake survey (clear and restart),,Unassigned,None
Skin Survey & Profile System,Survey State Management,survey_completed flag on profile,,Unassigned,None
Skin Survey & Profile System,Profile Data Model,Skin type (canonical: oily dry combination normal sensitive),,Unassigned,None
Skin Survey & Profile System,Profile Data Model,Primary concerns (array),,Unassigned,None
Skin Survey & Profile System,Profile Data Model,Sensitivity level,,Unassigned,None
Skin Survey & Profile System,Profile Data Model,Complexion / Fitzpatrick type,,Unassigned,None
Skin Survey & Profile System,Profile Data Model,Allergens (array),,Unassigned,None
Skin Survey & Profile System,Profile Data Model,Lifestyle factors (object),,Unassigned,None
Skin Survey & Profile System,Profile Data Model,Product preferences (object: vegan crueltyFree fragranceFree etc.),,Unassigned,None
Skin Survey & Profile System,Profile Data Model,Budget range,,Unassigned,None
Skin Survey & Profile System,Profile Data Model,Age range,,Unassigned,None
Skin Survey & Profile System,Profile Data Model,Sex at birth (for hormonal context),,Unassigned,None
Skin Survey & Profile System,Profile Data Model,Acne type / scarring type (if applicable),,Unassigned,None
Skin Survey & Profile System,Personalization Fallback Hierarchy,Supabase profile (canonical source for auth users),,Unassigned,None
Skin Survey & Profile System,Personalization Fallback Hierarchy,Session state (tempSkinType tempConcerns from in-session actions),,Unassigned,None
Skin Survey & Profile System,Personalization Fallback Hierarchy,localStorage skinSurveyData (guest persistence),,Unassigned,None
Skin Survey & Profile System,Personalization Fallback Hierarchy,Graceful degradation (no personalization no crash),,Unassigned,None
Skin Survey & Profile System,Effective Getters,getEffectiveSkinType(),,Unassigned,None
Skin Survey & Profile System,Effective Getters,getEffectiveConcerns(),,Unassigned,None
Skin Survey & Profile System,Effective Getters,getEffectivePreferences(),,Unassigned,None
Skin Survey & Profile System,Effective Getters,getEffectiveComplexion(),,Unassigned,None
Skin Survey & Profile System,Effective Getters,getEffectiveSensitivity(),,Unassigned,None
Skin Survey & Profile System,Effective Getters,getEffectiveLifestyle(),,Unassigned,None
Routines,Routine Builder,Step-by-step routine creation,,Unassigned,None
Routines,Routine Builder,AM/PM/both time-of-day assignment,,Unassigned,None
Routines,Routine Builder,Product picker (browse and add from catalog),,Unassigned,None
Routines,Routine Builder,Custom step creation (non-product steps),,Unassigned,None
Routines,Routine Builder,Step reordering (drag-and-drop),,Unassigned,None
Routines,Routine Builder,Step removal,,Unassigned,None
Routines,Routine Builder,Step editing,,Unassigned,None
Routines,Routine Builder,Routine naming,,Unassigned,None
Routines,Routine Builder,Routine description,,Unassigned,None
Routines,Conflict Detection,Ingredient conflict engine (retinol + AHAs etc.),,Unassigned,None
Routines,Conflict Detection,Conflict popup with explanation,,Unassigned,None
Routines,Conflict Detection,Conflict severity levels,,Unassigned,None
Routines,Conflict Detection,Resolution suggestions,,Unassigned,None
Routines,AI Assistant,AI-powered routine suggestions,,Unassigned,None
Routines,AI Assistant,Step recommendations based on profile,,Unassigned,None
Routines,AI Assistant,Product alternatives,,Unassigned,None
Routines,AI Assistant,Ordering optimization,,Unassigned,None
Routines,Notes & Photos,Per-routine notes (text),,Unassigned,None
Routines,Notes & Photos,Photo attachments (Supabase Storage: routine-photos bucket),,Unassigned,None
Routines,Notes & Photos,Notes timeline,,Unassigned,None
Routines,Version Control,Automatic version snapshot on save,,Unassigned,None
Routines,Version Control,Version history list,,Unassigned,None
Routines,Version Control,Version diff (step-by-step changes),,Unassigned,None
Routines,Version Control,Version revert,,Unassigned,None
Routines,Version Control,Change summary per version,,Unassigned,None
Routines,Version Control,Version labeling,,Unassigned,None
